Label (Grouping),United States!!Total!!Estimate,United States!!Male!!Estimate,United States!!Female!!Estimate,Alabama!!Total!!Estimate,Alabama!!Male!!Estimate,Alabama!!Female!!Estimate,Alaska!!Total!!Estimate,Alaska!!Male!!Estimate,Alaska!!Female!!Estimate,Arizona!!Total!!Estimate,Arizona!!Male!!Estimate,Arizona!!Female!!Estimate,Arkansas!!Total!!Estimate,Arkansas!!Male!!Estimate,Arkansas!!Female!!Estimate,California!!Total!!Estimate,California!!Male!!Estimate,California!!Female!!Estimate,Colorado!!Total!!Estimate,Colorado!!Male!!Estimate,Colorado!!Female!!Estimate,Connecticut!!Total!!Estimate,Connecticut!!Male!!Estimate,Connecticut!!Female!!Estimate,Delaware!!Total!!Estimate,Delaware!!Male!!Estimate,Delaware!!Female!!Estimate,District of Columbia!!Total!!Estimate,District of Columbia!!Male!!Estimate,District of Columbia!!Female!!Estimate,Florida!!Total!!Estimate,Florida!!Male!!Estimate,Florida!!Female!!Estimate,Georgia!!Total!!Estimate,Georgia!!Male!!Estimate,Georgia!!Female!!Estimate,Hawaii!!Total!!Estimate,Hawaii!!Male!!Estimate,Hawaii!!Female!!Estimate,Idaho!!Total!!Estimate,Idaho!!Male!!Estimate,Idaho!!Female!!Estimate,Illinois!!Total!!Estimate,Illinois!!Male!!Estimate,Illinois!!Female!!Estimate,Indiana!!Total!!Estimate,Indiana!!Male!!Estimate,Indiana!!Female!!Estimate,Iowa!!Total!!Estimate,Iowa!!Male!!Estimate,Iowa!!Female!!Estimate,Kansas!!Total!!Estimate,Kansas!!Male!!Estimate,Kansas!!Female!!Estimate,Kentucky!!Total!!Estimate,Kentucky!!Male!!Estimate,Kentucky!!Female!!Estimate,Louisiana!!Total!!Estimate,Louisiana!!Male!!Estimate,Louisiana!!Female!!Estimate,Maine!!Total!!Estimate,Maine!!Male!!Estimate,Maine!!Female!!Estimate,Maryland!!Total!!Estimate,Maryland!!Male!!Estimate,Maryland!!Female!!Estimate,Massachusetts!!Total!!Estimate,Massachusetts!!Male!!Estimate,Massachusetts!!Female!!Estimate,Michigan!!Total!!Estimate,Michigan!!Male!!Estimate,Michigan!!Female!!Estimate,Minnesota!!Total!!Estimate,Minnesota!!Male!!Estimate,Minnesota!!Female!!Estimate,Mississippi!!Total!!Estimate,Mississippi!!Male!!Estimate,Mississippi!!Female!!Estimate,Missouri!!Total!!Estimate,Missouri!!Male!!Estimate,Missouri!!Female!!Estimate,Montana!!Total!!Estimate,Montana!!Male!!Estimate,Montana!!Female!!Estimate,Nebraska!!Total!!Estimate,Nebraska!!Male!!Estimate,Nebraska!!Female!!Estimate,Nevada!!Total!!Estimate,Nevada!!Male!!Estimate,Nevada!!Female!!Estimate,New Hampshire!!Total!!Estimate,New Hampshire!!Male!!Estimate,New Hampshire!!Female!!Estimate,New Jersey!!Total!!Estimate,New Jersey!!Male!!Estimate,New Jersey!!Female!!Estimate,New Mexico!!Total!!Estimate,New Mexico!!Male!!Estimate,New Mexico!!Female!!Estimate,New York!!Total!!Estimate,New York!!Male!!Estimate,New York!!Female!!Estimate,North Carolina!!Total!!Estimate,North Carolina!!Male!!Estimate,North Carolina!!Female!!Estimate,North Dakota!!Total!!Estimate,North Dakota!!Male!!Estimate,North Dakota!!Female!!Estimate,Ohio!!Total!!Estimate,Ohio!!Male!!Estimate,Ohio!!Female!!Estimate,Oklahoma!!Total!!Estimate,Oklahoma!!Male!!Estimate,Oklahoma!!Female!!Estimate,Oregon!!Total!!Estimate,Oregon!!Male!!Estimate,Oregon!!Female!!Estimate,Pennsylvania!!Total!!Estimate,Pennsylvania!!Male!!Estimate,Pennsylvania!!Female!!Estimate,Rhode Island!!Total!!Estimate,Rhode Island!!Male!!Estimate,Rhode Island!!Female!!Estimate,South Carolina!!Total!!Estimate,South Carolina!!Male!!Estimate,South Carolina!!Female!!Estimate,South Dakota!!Total!!Estimate,South Dakota!!Male!!Estimate,South Dakota!!Female!!Estimate,Tennessee!!Total!!Estimate,Tennessee!!Male!!Estimate,Tennessee!!Female!!Estimate,Texas!!Total!!Estimate,Texas!!Male!!Estimate,Texas!!Female!!Estimate,Utah!!Total!!Estimate,Utah!!Male!!Estimate,Utah!!Female!!Estimate,Vermont!!Total!!Estimate,Vermont!!Male!!Estimate,Vermont!!Female!!Estimate,Virginia!!Total!!Estimate,Virginia!!Male!!Estimate,Virginia!!Female!!Estimate,Washington!!Total!!Estimate,Washington!!Male!!Estimate,Washington!!Female!!Estimate,West Virginia!!Total!!Estimate,West Virginia!!Male!!Estimate,West Virginia!!Female!!Estimate,Wisconsin!!Total!!Estimate,Wisconsin!!Male!!Estimate,Wisconsin!!Female!!Estimate,Wyoming!!Total!!Estimate,Wyoming!!Male!!Estimate,Wyoming!!Female!!Estimate,Puerto Rico!!Total!!Estimate,Puerto Rico!!Male!!Estimate,Puerto Rico!!Female!!Estimate
    16 years and over,79.5%,78.7%,80.3%,79.8%,78.8%,80.8%,77.2%,77.5%,76.8%,78.6%,78.1%,79.2%,78.8%,77.9%,79.7%,79.1%,78.5%,79.6%,79.2%,78.8%,79.6%,81.1%,80.2%,82.0%,80.6%,79.6%,81.5%,84.2%,83.1%,85.1%,82.0%,81.1%,82.8%,78.1%,77.1%,79.0%,80.5%,80.0%,80.9%,76.5%,75.9%,77.1%,79.4%,78.6%,80.2%,78.7%,77.9%,79.5%,79.2%,78.6%,79.8%,77.8%,77.2%,78.5%,79.6%,78.8%,80.4%,78.7%,77.8%,79.5%,82.8%,81.9%,83.7%,79.9%,78.9%,80.9%,81.9%,81.0%,82.8%,80.3%,79.4%,81.1%,79.1%,78.5%,79.7%,78.2%,77.2%,79.3%,79.6%,78.7%,80.4%,80.4%,80.0%,80.8%,77.8%,77.1%,78.5%,79.2%,78.9%,79.5%,82.5%,82.0%,83.0%,80.1%,79.2%,81.0%,78.6%,78.0%,79.3%,81.1%,80.0%,82.0%,79.5%,78.5%,80.5%,79.5%,79.5%,79.5%,79.9%,79.0%,80.7%,78.1%,77.4%,78.7%,80.9%,80.2%,81.5%,81.4%,80.5%,82.2%,82.3%,81.4%,83.2%,80.1%,79.2%,81.0%,78.0%,77.5%,78.5%,79.8%,78.8%,80.6%,76.4%,75.7%,77.1%,72.5%,71.9%,73.0%,83.1%,82.3%,83.8%,80.1%,79.3%,80.8%,79.8%,79.4%,80.3%,81.8%,81.1%,82.4%,80.0%,79.4%,80.6%,78.8%,78.6%,78.9%,81.1%,79.7%,82.4%
    18 years and over,76.9%,76.0%,77.7%,77.2%,76.0%,78.3%,74.5%,74.9%,74.1%,75.9%,75.3%,76.6%,76.2%,75.2%,77.1%,76.4%,75.7%,77.0%,76.7%,76.3%,77.2%,78.4%,77.4%,79.4%,78.2%,77.1%,79.2%,82.6%,81.5%,83.6%,79.6%,78.7%,80.5%,75.3%,74.2%,76.4%,78.2%,77.7%,78.7%,73.6%,73.0%,74.2%,76.7%,75.8%,77.6%,76.0%,75.1%,76.9%,76.6%,75.8%,77.3%,75.1%,74.4%,75.8%,77.0%,76.1%,77.9%,76.0%,75.0%,77.0%,80.5%,79.5%,81.4%,77.4%,76.2%,78.5%,79.4%,78.3%,80.4%,77.5%,76.6%,78.4%,76.5%,75.8%,77.1%,75.5%,74.3%,76.6%,77.0%,76.0%,77.9%,78.0%,77.5%,78.5%,75.1%,74.4%,75.9%,76.6%,76.2%,77.0%,79.9%,79.2%,80.5%,77.5%,76.4%,78.4%,75.9%,75.1%,76.7%,78.5%,77.4%,79.6%,77.0%,75.9%,78.1%,77.2%,77.2%,77.3%,77.2%,76.2%,78.2%,75.4%,74.6%,76.2%,78.4%,77.6%,79.1%,78.8%,77.9%,79.8%,79.9%,78.7%,80.9%,77.5%,76.5%,78.5%,75.4%,74.8%,75.9%,77.2%,76.1%,78.2%,73.5%,72.8%,74.3%,69.3%,68.7%,70.0%,80.6%,79.7%,81.4%,77.6%,76.7%,78.4%,77.3%,76.7%,77.9%,79.4%,78.7%,80.2%,77.4%,76.7%,78.0%,76.2%,75.9%,76.5%,78.3%,76.6%,79.7%
    60 years and over,20.4%,18.7%,22.0%,21.5%,19.7%,23.2%,15.1%,14.7%,15.6%,21.7%,20.2%,23.1%,21.6%,19.9%,23.2%,18.3%,16.6%,19.9%,18.5%,17.2%,19.9%,21.7%,19.7%,23.6%,22.7%,21.2%,24.1%,16.4%,14.4%,18.1%,25.3%,23.4%,27.1%,17.8%,16.2%,19.3%,22.4%,20.5%,24.2%,20.3%,19.3%,21.2%,19.7%,17.9%,21.5%,20.2%,18.5%,21.9%,22.0%,20.2%,23.8%,20.2%,18.4%,22.0%,21.0%,19.2%,22.7%,19.5%,17.9%,21.1%,25.5%,23.9%,27.1%,19.7%,17.9%,21.4%,21.2%,19.3%,23.0%,21.9%,20.2%,23.5%,20.3%,18.8%,21.8%,20.1%,18.4%,21.7%,21.4%,19.7%,23.1%,23.8%,22.8%,24.8%,20.3%,18.6%,22.0%,19.9%,18.9%,21.0%,22.7%,21.3%,24.1%,20.6%,18.5%,22.6%,21.5%,20.1%,22.9%,20.6%,18.6%,22.5%,20.6%,18.8%,22.3%,20.0%,18.3%,21.8%,21.8%,20.0%,23.6%,20.2%,18.5%,21.9%,22.7%,21.2%,24.1%,23.1%,21.0%,25.2%,22.0%,19.9%,24.0%,22.1%,20.4%,23.7%,21.4%,19.7%,23.0%,21.1%,19.5%,22.7%,16.5%,15.1%,17.9%,14.4%,13.4%,15.4%,24.2%,22.8%,25.6%,19.6%,18.0%,21.2%,20.2%,18.7%,21.6%,24.9%,23.2%,26.6%,21.5%,20.0%,23.0%,20.6%,19.6%,21.6%,23.5%,21.6%,25.2%
    62 years and over,17.9%,16.3%,19.5%,18.9%,17.2%,20.6%,12.5%,12.1%,12.9%,19.3%,18.0%,20.7%,19.2%,17.5%,20.7%,16.0%,14.4%,17.5%,16.0%,14.7%,17.3%,19.0%,17.1%,20.8%,20.1%,18.7%,21.5%,14.3%,12.5%,15.9%,22.7%,21.0%,24.4%,15.5%,14.0%,16.9%,19.7%,17.8%,21.6%,17.7%,16.8%,18.7%,17.2%,15.4%,18.9%,17.7%,16.0%,19.4%,19.4%,17.5%,21.2%,17.7%,16.0%,19.4%,18.4%,16.7%,20.0%,17.0%,15.4%,18.5%,22.5%,21.0%,23.9%,17.2%,15.5%,18.8%,18.6%,16.8%,20.4%,19.1%,17.5%,20.8%,17.8%,16.3%,19.2%,17.7%,16.0%,19.3%,18.9%,17.1%,20.6%,20.8%,19.9%,21.7%,17.7%,16.0%,19.5%,17.5%,16.5%,18.5%,19.8%,18.5%,21.1%,18.1%,16.1%,20.0%,18.9%,17.5%,20.3%,18.1%,16.1%,19.9%,18.1%,16.4%,19.8%,17.6%,15.8%,19.4%,19.2%,17.3%,20.9%,17.8%,16.2%,19.4%,19.9%,18.5%,21.3%,20.4%,18.3%,22.4%,19.4%,17.4%,21.3%,19.5%,17.9%,21.0%,18.8%,17.2%,20.4%,18.6%,17.0%,20.1%,14.4%,13.0%,15.7%,12.5%,11.6%,13.5%,21.2%,19.8%,22.5%,17.2%,15.6%,18.7%,17.6%,16.2%,18.9%,22.0%,20.3%,23.6%,18.8%,17.3%,20.4%,17.7%,16.7%,18.7%,21.0%,19.2%,22.7%
    65 years and over,14.5%,13.0%,16.0%,15.3%,13.7%,16.9%,9.4%,8.9%,10.0%,15.9%,14.7%,17.1%,15.7%,14.1%,17.2%,12.9%,11.4%,14.3%,12.7%,11.4%,13.9%,15.5%,13.6%,17.2%,16.5%,15.1%,17.7%,11.4%,9.8%,12.9%,19.1%,17.5%,20.5%,12.3%,11.0%,13.6%,16.1%,14.4%,17.9%,14.3%,13.4%,15.2%,13.9%,12.2%,15.5%,14.3%,12.6%,15.9%,15.8%,14.0%,17.6%,14.3%,12.7%,15.9%,14.8%,13.1%,16.4%,13.6%,12.1%,15.1%,18.2%,16.8%,19.6%,13.8%,12.2%,15.2%,15.1%,13.3%,16.8%,15.4%,13.8%,16.9%,14.3%,12.8%,15.7%,14.3%,12.7%,15.8%,15.3%,13.7%,16.9%,16.7%,15.8%,17.6%,14.4%,12.8%,16.0%,14.1%,13.3%,15.0%,15.8%,14.5%,17.2%,14.7%,12.8%,16.5%,15.3%,14.0%,16.5%,14.7%,12.8%,16.4%,14.7%,13.1%,16.2%,14.2%,12.4%,16.1%,15.5%,13.7%,17.2%,14.5%,13.0%,16.0%,15.9%,14.6%,17.2%,16.7%,14.7%,18.6%,15.8%,13.8%,17.6%,15.8%,14.3%,17.1%,15.2%,13.7%,16.7%,15.0%,13.5%,16.5%,11.5%,10.2%,12.7%,10.0%,9.2%,10.9%,17.0%,15.6%,18.2%,13.8%,12.3%,15.2%,14.0%,12.8%,15.3%,17.8%,16.1%,19.4%,15.2%,13.7%,16.7%,13.8%,12.8%,14.9%,17.4%,15.8%,18.8%
    75 years and over,6.2%,5.1%,7.3%,6.4%,5.1%,7.5%,3.1%,2.6%,3.6%,6.7%,6.0%,7.4%,6.6%,5.5%,7.7%,5.6%,4.6%,6.5%,5.0%,4.1%,5.9%,7.0%,5.6%,8.4%,6.7%,5.8%,7.6%,4.9%,3.8%,6.0%,8.6%,7.5%,9.6%,4.8%,3.8%,5.7%,7.2%,5.7%,8.6%,5.8%,5.0%,6.5%,6.1%,4.8%,7.3%,6.1%,4.9%,7.4%,7.4%,5.9%,8.9%,6.5%,5.2%,7.8%,6.1%,4.9%,7.3%,5.6%,4.5%,6.7%,7.7%,6.5%,8.9%,5.8%,4.7%,6.8%,6.7%,5.3%,8.0%,6.6%,5.4%,7.8%,6.4%,5.2%,7.6%,5.9%,4.7%,7.1%,6.7%,5.5%,7.9%,7.0%,6.0%,7.9%,6.7%,5.4%,8.0%,5.3%,4.8%,5.9%,6.6%,5.4%,7.7%,6.6%,5.2%,7.9%,6.3%,5.5%,7.1%,6.6%,5.2%,7.8%,6.0%,4.8%,7.1%,6.9%,5.4%,8.5%,6.8%,5.5%,8.1%,6.2%,5.1%,7.2%,6.5%,5.5%,7.5%,7.7%,6.1%,9.2%,7.3%,5.6%,8.8%,6.1%,5.1%,7.1%,7.1%,5.7%,8.5%,6.1%,5.0%,7.2%,4.7%,3.8%,5.5%,4.2%,3.6%,4.7%,7.0%,5.8%,8.2%,5.6%,4.6%,6.6%,5.7%,4.8%,6.6%,7.5%,6.1%,8.8%,6.8%,5.5%,8.0%,5.6%,4.8%,6.5%,7.4%,6.4%,8.4%
SUMMARY INDICATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Median age (years),37.7,36.3,39,38.6,37.1,40,33.6,33.3,34,37.1,35.8,38.4,37.7,36.4,39.2,36,34.9,37.1,36.4,35.5,37.4,40.6,38.8,42.1,39.6,38,41.1,33.8,33.6,34,41.6,40.1,43.1,36.2,34.9,37.4,38.5,36.9,40.1,35.7,34.9,36.6,37.4,36.1,38.7,37.4,36.1,38.7,38,36.7,39.4,36.2,35,37.6,38.6,37.2,40,36.2,35,37.5,44,42.8,45.2,38.3,36.7,39.8,39.4,37.8,40.8,39.5,38.1,40.9,37.8,36.7,38.8,36.7,35.2,38.2,38.3,36.8,39.7,39.8,38.7,40.9,36.2,35.1,37.5,37.5,36.8,38.1,42.4,41.3,43.5,39.5,37.9,41,37.2,35.7,38.7,38.2,36.6,39.8,38.3,36.8,39.7,35.2,34.1,36.5,39.3,37.8,40.8,36.2,35,37.6,39.1,38,40.2,40.6,38.9,42.2,39.9,38.1,41.5,38.8,37.3,40.3,36.8,35.7,38.1,38.5,37.2,39.8,34.2,33.2,35.2,30.3,29.8,30.9,42.6,41.3,43.8,37.8,36.5,39.1,37.6,36.6,38.6,41.9,40.7,43.1,39.1,38,40.3,36.8,36,37.8,39.4,37.4,41.1
    Sex ratio (males per 100 females),96.9,(X),(X),94,(X),(X),109.6,(X),(X),98.8,(X),(X),96.4,(X),(X),98.7,(X),(X),100.7,(X),(X),95.2,(X),(X),93.8,(X),(X),90.3,(X),(X),95.6,(X),(X),95.1,(X),(X),100.9,(X),(X),100.5,(X),(X),96.5,(X),(X),97,(X),(X),98.7,(X),(X),99,(X),(X),97,(X),(X),95.7,(X),(X),96,(X),(X),93.9,(X),(X),94.1,(X),(X),96.6,(X),(X),98.9,(X),(X),94.2,(X),(X),96.3,(X),(X),101,(X),(X),99,(X),(X),101,(X),(X),97.8,(X),(X),95.3,(X),(X),98.1,(X),(X),94.2,(X),(X),94.7,(X),(X),105,(X),(X),96,(X),(X),98.2,(X),(X),98,(X),(X),95.8,(X),(X),94.1,(X),(X),94.5,(X),(X),101.2,(X),(X),95.1,(X),(X),98.5,(X),(X),101.2,(X),(X),97.2,(X),(X),96.7,(X),(X),99.6,(X),(X),97.7,(X),(X),98.7,(X),(X),104.3,(X),(X),91.4,(X),(X)
    Age dependency ratio,60.3,(X),(X),61.7,(X),(X),53.5,(X),(X),66.6,(X),(X),65.3,(X),(X),57.5,(X),(X),56,(X),(X),58.8,(X),(X),62.1,(X),(X),40.5,(X),(X),65.1,(X),(X),58.8,(X),(X),61,(X),(X),68.5,(X),(X),59.1,(X),(X),62,(X),(X),64.5,(X),(X),64.5,(X),(X),60.7,(X),(X),60.3,(X),(X),60.6,(X),(X),57.2,(X),(X),55.5,(X),(X),61,(X),(X),60.8,(X),(X),63.3,(X),(X),62.3,(X),(X),63.1,(X),(X),64.7,(X),(X),60.1,(X),(X),56.2,(X),(X),59.4,(X),(X),64.9,(X),(X),56.6,(X),(X),60.5,(X),(X),58.8,(X),(X),62,(X),(X),64.1,(X),(X),60.2,(X),(X),60.9,(X),(X),56.1,(X),(X),61.8,(X),(X),66.1,(X),(X),60.9,(X),(X),61.2,(X),(X),68.7,(X),(X),57.2,(X),(X),56.8,(X),(X),58,(X),(X),62.2,(X),(X),60.8,(X),(X),60.4,(X),(X),64.3,(X),(X)
    Old-age dependency ratio,23.2,(X),(X),24.8,(X),(X),14.4,(X),(X),26.5,(X),(X),25.9,(X),(X),20.3,(X),(X),19.7,(X),(X),24.6,(X),(X),26.7,(X),(X),16,(X),(X),31.5,(X),(X),19.6,(X),(X),25.9,(X),(X),24,(X),(X),22.1,(X),(X),23.1,(X),(X),26,(X),(X),23.6,(X),(X),23.8,(X),(X),21.9,(X),(X),29.3,(X),(X),21.6,(X),(X),23.5,(X),(X),24.8,(X),(X),23,(X),(X),23.3,(X),(X),24.9,(X),(X),27.2,(X),(X),23.8,(X),(X),22.6,(X),(X),24.7,(X),(X),23.5,(X),(X),25.2,(X),(X),23,(X),(X),23.6,(X),(X),22.6,(X),(X),25.1,(X),(X),23.8,(X),(X),25.5,(X),(X),26.8,(X),(X),24.6,(X),(X),25.5,(X),(X),25.2,(X),(X),24.2,(X),(X),18.5,(X),(X),16.9,(X),(X),26.7,(X),(X),21.6,(X),(X),22.2,(X),(X),28.8,(X),(X),24.5,(X),(X),22.2,(X),(X),28.6,(X),(X)
    Child dependency ratio,37,(X),(X),36.9,(X),(X),39.1,(X),(X),40.1,(X),(X),39.4,(X),(X),37.3,(X),(X),36.3,(X),(X),34.2,(X),(X),35.4,(X),(X),24.4,(X),(X),33.7,(X),(X),39.2,(X),(X),35.1,(X),(X),44.4,(X),(X),37,(X),(X),38.9,(X),(X),38.5,(X),(X),41,(X),(X),36.9,(X),(X),38.4,(X),(X),31.3,(X),(X),35.5,(X),(X),32.1,(X),(X),36.2,(X),(X),37.8,(X),(X),40,(X),(X),37.4,(X),(X),35.9,(X),(X),40.9,(X),(X),37.5,(X),(X),31.4,(X),(X),35.9,(X),(X),39.7,(X),(X),33.6,(X),(X),36.9,(X),(X),36.2,(X),(X),36.9,(X),(X),40.3,(X),(X),34.6,(X),(X),34,(X),(X),31.4,(X),(X),36.3,(X),(X),40.9,(X),(X),36.7,(X),(X),42.6,(X),(X),51.8,(X),(X),30.5,(X),(X),35.2,(X),(X),35.9,(X),(X),33.4,(X),(X),36.4,(X),(X),38.2,(X),(X),35.7,(X),(X)
PERCENT ALLOCATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Sex,0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.0%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X),0.1%,(X),(X)
    Age,1.5%,(X),(X),1.8%,(X),(X),2.3%,(X),(X),1.8%,(X),(X),1.4%,(X),(X),1.9%,(X),(X),1.4%,(X),(X),1.5%,(X),(X),1.5%,(X),(X),2.2%,(X),(X),2.3%,(X),(X),2.0%,(X),(X),2.7%,(X),(X),1.5%,(X),(X),1.4%,(X),(X),1.1%,(X),(X),1.1%,(X),(X),1.1%,(X),(X),1.1%,(X),(X),1.5%,(X),(X),1.2%,(X),(X),1.6%,(X),(X),1.4%,(X),(X),1.1%,(X),(X),1.0%,(X),(X),1.1%,(X),(X),1.2%,(X),(X),1.8%,(X),(X),1.6%,(X),(X),1.5%,(X),(X),1.3%,(X),(X),1.8%,(X),(X),1.8%,(X),(X),1.9%,(X),(X),1.2%,(X),(X),1.5%,(X),(X),1.3%,(X),(X),1.4%,(X),(X),1.5%,(X),(X),1.1%,(X),(X),1.7%,(X),(X),1.4%,(X),(X),1.2%,(X),(X),1.4%,(X),(X),1.3%,(X),(X),1.7%,(X),(X),1.3%,(X),(X),1.6%,(X),(X),1.4%,(X),(X),1.0%,(X),(X),1.0%,(X),(X),1.6%,(X),(X),1.5%,(X),(X)
