"Notes"	"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Jan., 2019"	"2019/01"	"45-49 years"	"45-49"	5592	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"50-54 years"	"50-54"	8748	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"55-59 years"	"55-59"	14318	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"60-64 years "	"60-64"	19516	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"65-69 years"	"65-69"	22905	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"70-74 years"	"70-74"	26848	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"75-79 years"	"75-79"	29757	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"80-84 years"	"80-84"	32748	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"85-89 years"	"85-89"	34766	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"90-94 years"	"90-94"	29633	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"95-99 years"	"95-99"	13475	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"100+ years"	"100+"	2956	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"< 1 year"	"1"	1635	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"1-4 years"	"1-4"	304	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"5-9 years"	"5-9"	191	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"10-14 years"	"10-14"	245	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"15-19 years"	"15-19"	727	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"20-24 years"	"20-24"	1380	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"25-29 years"	"25-29"	1981	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"30-34 years"	"30-34"	2391	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"35-39 years"	"35-39"	2811	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"40-44 years"	"40-44"	3363	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"45-49 years"	"45-49"	5189	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"50-54 years"	"50-54"	7738	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"55-59 years"	"55-59"	12752	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"60-64 years "	"60-64"	17745	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"65-69 years"	"65-69"	20605	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"70-74 years"	"70-74"	24737	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"75-79 years"	"75-79"	26903	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"80-84 years"	"80-84"	29623	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"85-89 years"	"85-89"	31437	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"90-94 years"	"90-94"	26487	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"95-99 years"	"95-99"	12025	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"100+ years"	"100+"	2544	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"< 1 year"	"1"	1838	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"1-4 years"	"1-4"	290	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"5-9 years"	"5-9"	213	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"10-14 years"	"10-14"	246	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"15-19 years"	"15-19"	827	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"20-24 years"	"20-24"	1561	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"25-29 years"	"25-29"	2258	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"30-34 years"	"30-34"	2692	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"35-39 years"	"35-39"	3279	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"40-44 years"	"40-44"	3780	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"45-49 years"	"45-49"	5486	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"50-54 years"	"50-54"	8511	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"55-59 years"	"55-59"	14037	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"60-64 years "	"60-64"	19119	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"65-69 years"	"65-69"	22649	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"70-74 years"	"70-74"	26906	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"75-79 years"	"75-79"	29176	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"80-84 years"	"80-84"	32277	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"85-89 years"	"85-89"	34595	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"90-94 years"	"90-94"	29155	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"95-99 years"	"95-99"	13203	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"100+ years"	"100+"	2820	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	"Not Stated"	"NS"	11	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"< 1 year"	"1"	1734	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"1-4 years"	"1-4"	322	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"5-9 years"	"5-9"	167	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"10-14 years"	"10-14"	270	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"15-19 years"	"15-19"	826	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"20-24 years"	"20-24"	1507	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"25-29 years"	"25-29"	2190	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"30-34 years"	"30-34"	2549	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"35-39 years"	"35-39"	3108	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"40-44 years"	"40-44"	3667	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"45-49 years"	"45-49"	5150	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"50-54 years"	"50-54"	7949	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"55-59 years"	"55-59"	12967	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"60-64 years "	"60-64"	17842	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"65-69 years"	"65-69"	20908	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"70-74 years"	"70-74"	24750	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"75-79 years"	"75-79"	27252	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"80-84 years"	"80-84"	29918	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"85-89 years"	"85-89"	31249	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"90-94 years"	"90-94"	26309	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"95-99 years"	"95-99"	12132	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"100+ years"	"100+"	2478	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"< 1 year"	"1"	1800	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"1-4 years"	"1-4"	350	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"5-9 years"	"5-9"	193	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"10-14 years"	"10-14"	264	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"15-19 years"	"15-19"	908	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"20-24 years"	"20-24"	1694	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"25-29 years"	"25-29"	2220	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"30-34 years"	"30-34"	2755	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"35-39 years"	"35-39"	3286	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"40-44 years"	"40-44"	3634	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"45-49 years"	"45-49"	5335	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"50-54 years"	"50-54"	8189	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"55-59 years"	"55-59"	13159	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"60-64 years "	"60-64"	18022	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"65-69 years"	"65-69"	21288	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"70-74 years"	"70-74"	24839	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"75-79 years"	"75-79"	27594	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"80-84 years"	"80-84"	29653	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"85-89 years"	"85-89"	31339	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"90-94 years"	"90-94"	26051	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"95-99 years"	"95-99"	11832	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"100+ years"	"100+"	2476	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"< 1 year"	"1"	1783	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"1-4 years"	"1-4"	335	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"5-9 years"	"5-9"	215	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"10-14 years"	"10-14"	282	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"15-19 years"	"15-19"	944	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"20-24 years"	"20-24"	1634	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"25-29 years"	"25-29"	2269	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"30-34 years"	"30-34"	2738	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"35-39 years"	"35-39"	3182	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"40-44 years"	"40-44"	3599	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"45-49 years"	"45-49"	5246	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"50-54 years"	"50-54"	7727	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"55-59 years"	"55-59"	12773	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"60-64 years "	"60-64"	17126	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"65-69 years"	"65-69"	20217	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"70-74 years"	"70-74"	23797	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"75-79 years"	"75-79"	25937	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"80-84 years"	"80-84"	27795	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"85-89 years"	"85-89"	29569	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"90-94 years"	"90-94"	24497	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"95-99 years"	"95-99"	11336	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"100+ years"	"100+"	2408	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	"Not Stated"	"NS"	13	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"< 1 year"	"1"	1768	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"1-4 years"	"1-4"	318	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"5-9 years"	"5-9"	225	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"10-14 years"	"10-14"	278	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"15-19 years"	"15-19"	888	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"20-24 years"	"20-24"	1757	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"25-29 years"	"25-29"	2409	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"30-34 years"	"30-34"	2820	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"35-39 years"	"35-39"	3257	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"40-44 years"	"40-44"	3786	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"45-49 years"	"45-49"	5385	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"50-54 years"	"50-54"	8226	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"55-59 years"	"55-59"	13197	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"60-64 years "	"60-64"	17451	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"65-69 years"	"65-69"	20618	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"70-74 years"	"70-74"	24057	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"75-79 years"	"75-79"	26191	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"80-84 years"	"80-84"	28269	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"85-89 years"	"85-89"	29882	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"90-94 years"	"90-94"	24682	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"95-99 years"	"95-99"	11356	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"100+ years"	"100+"	2375	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	"Not Stated"	"NS"	16	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"< 1 year"	"1"	1778	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"1-4 years"	"1-4"	317	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"5-9 years"	"5-9"	169	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"10-14 years"	"10-14"	270	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"15-19 years"	"15-19"	864	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"20-24 years"	"20-24"	1706	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"25-29 years"	"25-29"	2410	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"30-34 years"	"30-34"	2790	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"35-39 years"	"35-39"	3344	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"40-44 years"	"40-44"	3799	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"45-49 years"	"45-49"	5160	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"50-54 years"	"50-54"	7808	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"55-59 years"	"55-59"	12711	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"60-64 years "	"60-64"	17503	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"65-69 years"	"65-69"	20515	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"70-74 years"	"70-74"	24118	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"75-79 years"	"75-79"	26127	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"80-84 years"	"80-84"	28118	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"85-89 years"	"85-89"	29468	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"90-94 years"	"90-94"	24581	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"95-99 years"	"95-99"	11422	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"100+ years"	"100+"	2282	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	"Not Stated"	"NS"	20	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"< 1 year"	"1"	1720	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"1-4 years"	"1-4"	280	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"5-9 years"	"5-9"	171	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"10-14 years"	"10-14"	268	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"15-19 years"	"15-19"	861	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"20-24 years"	"20-24"	1651	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"25-29 years"	"25-29"	2212	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"30-34 years"	"30-34"	2689	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"35-39 years"	"35-39"	3214	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"40-44 years"	"40-44"	3673	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"45-49 years"	"45-49"	5092	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"50-54 years"	"50-54"	7536	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"55-59 years"	"55-59"	12652	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"60-64 years "	"60-64"	16827	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"65-69 years"	"65-69"	19819	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"70-74 years"	"70-74"	23435	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"75-79 years"	"75-79"	25731	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"80-84 years"	"80-84"	27663	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"85-89 years"	"85-89"	29174	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"90-94 years"	"90-94"	24313	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"95-99 years"	"95-99"	11331	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"100+ years"	"100+"	2386	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	"Not Stated"	"NS"	17	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"< 1 year"	"1"	1697	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"1-4 years"	"1-4"	266	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"5-9 years"	"5-9"	171	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"10-14 years"	"10-14"	244	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"15-19 years"	"15-19"	915	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"20-24 years"	"20-24"	1671	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"25-29 years"	"25-29"	2310	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"30-34 years"	"30-34"	2725	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"35-39 years"	"35-39"	3270	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"40-44 years"	"40-44"	3714	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"45-49 years"	"45-49"	5152	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"50-54 years"	"50-54"	7999	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"55-59 years"	"55-59"	12843	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"60-64 years "	"60-64"	18001	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"65-69 years"	"65-69"	20971	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"70-74 years"	"70-74"	25378	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"75-79 years"	"75-79"	27558	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"80-84 years"	"80-84"	29862	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"85-89 years"	"85-89"	31609	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"90-94 years"	"90-94"	26207	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"95-99 years"	"95-99"	12543	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"100+ years"	"100+"	2550	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"< 1 year"	"1"	1700	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"1-4 years"	"1-4"	258	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"5-9 years"	"5-9"	186	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"10-14 years"	"10-14"	265	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"15-19 years"	"15-19"	854	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"20-24 years"	"20-24"	1673	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"25-29 years"	"25-29"	2273	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"30-34 years"	"30-34"	2670	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"35-39 years"	"35-39"	3207	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"40-44 years"	"40-44"	3684	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"45-49 years"	"45-49"	5402	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"50-54 years"	"50-54"	7848	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"55-59 years"	"55-59"	13151	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"60-64 years "	"60-64"	18002	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"65-69 years"	"65-69"	21462	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"70-74 years"	"70-74"	25365	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"75-79 years"	"75-79"	27593	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"80-84 years"	"80-84"	30037	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"85-89 years"	"85-89"	31490	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"90-94 years"	"90-94"	26716	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"95-99 years"	"95-99"	12597	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"100+ years"	"100+"	2580	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	"Not Stated"	"NS"	15	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"< 1 year"	"1"	1762	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"1-4 years"	"1-4"	333	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"5-9 years"	"5-9"	216	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"10-14 years"	"10-14"	277	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"15-19 years"	"15-19"	856	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"20-24 years"	"20-24"	1743	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"25-29 years"	"25-29"	2331	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"30-34 years"	"30-34"	2903	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"35-39 years"	"35-39"	3415	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"40-44 years"	"40-44"	3933	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"45-49 years"	"45-49"	5550	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"50-54 years"	"50-54"	8375	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"55-59 years"	"55-59"	13893	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"60-64 years "	"60-64"	19330	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"65-69 years"	"65-69"	22455	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"70-74 years"	"70-74"	26917	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"75-79 years"	"75-79"	29674	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"80-84 years"	"80-84"	32571	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"85-89 years"	"85-89"	34338	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"90-94 years"	"90-94"	28852	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"95-99 years"	"95-99"	13364	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"100+ years"	"100+"	2876	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	"Not Stated"	"NS"	11	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"< 1 year"	"1"	1777	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"1-4 years"	"1-4"	312	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"5-9 years"	"5-9"	182	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"10-14 years"	"10-14"	286	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"15-19 years"	"15-19"	930	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"20-24 years"	"20-24"	1646	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"25-29 years"	"25-29"	2214	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"30-34 years"	"30-34"	2974	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"35-39 years"	"35-39"	3466	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"40-44 years"	"40-44"	4086	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"45-49 years"	"45-49"	5657	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"50-54 years"	"50-54"	8684	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"55-59 years"	"55-59"	14193	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"60-64 years "	"60-64"	19955	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"65-69 years"	"65-69"	23714	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"70-74 years"	"70-74"	28681	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"75-79 years"	"75-79"	30796	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"80-84 years"	"80-84"	33105	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"85-89 years"	"85-89"	34954	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"90-94 years"	"90-94"	29559	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"95-99 years"	"95-99"	13921	Not Applicable	Not Applicable
