Notes,Month Reported,Month Reported Code,State / Territory,State / Territory Code,Event Category,Event Category Code,Events Reported,Percent
,"Dec., 2020",2020/12,Unknown,U,Emergency Room *,ER,131,0.19%
,"Dec., 2020",2020/12,Unknown,U,Office Visit *,OF,60,0.09%
,"Dec., 2020",2020/12,Unknown,U,None of the above,NONE,794,1.17%
Total,"Dec., 2020",2020/12,Unknown,U,,,1012,1.49%
Total,"Dec., 2020",2020/12,,,,,11326,16.69%
,"Jan., 2021",2021/01,Alabama,1,Death,DTH,6,0.01%
,"Jan., 2021",2021/01,Alabama,1,Life Threatening,LT,8,0.01%
,"Jan., 2021",2021/01,Alabama,1,Permanent Disability,DBL,2,0.00%
,"Jan., 2021",2021/01,Alabama,1,Hospitalized,H,11,0.02%
,"Jan., 2021",2021/01,Alabama,1,Emergency Room *,ER,37,0.05%
,"Jan., 2021",2021/01,Alabama,1,Office Visit *,OF,43,0.06%
,"Jan., 2021",2021/01,Alabama,1,None of the above,NONE,221,0.33%
Total,"Jan., 2021",2021/01,Alabama,1,,,328,0.48%
,"Jan., 2021",2021/01,Alaska,2,Death,DTH,5,0.01%
,"Jan., 2021",2021/01,Alaska,2,Life Threatening,LT,2,0.00%
,"Jan., 2021",2021/01,Alaska,2,Permanent Disability,DBL,1,0.00%
,"Jan., 2021",2021/01,Alaska,2,Hospitalized,H,5,0.01%
,"Jan., 2021",2021/01,Alaska,2,Emergency Room *,ER,32,0.05%
,"Jan., 2021",2021/01,Alaska,2,Office Visit *,OF,37,0.05%
,"Jan., 2021",2021/01,Alaska,2,None of the above,NONE,108,0.16%
Total,"Jan., 2021",2021/01,Alaska,2,,,190,0.28%
,"Jan., 2021",2021/01,Arizona,4,Death,DTH,6,0.01%
,"Jan., 2021",2021/01,Arizona,4,Life Threatening,LT,12,0.02%
,"Jan., 2021",2021/01,Arizona,4,Permanent Disability,DBL,4,0.01%
,"Jan., 2021",2021/01,Arizona,4,Hospitalized,H,22,0.03%
,"Jan., 2021",2021/01,Arizona,4,Existing Hospitalization Prolonged,HP,1,0.00%
,"Jan., 2021",2021/01,Arizona,4,Emergency Room / Office Visit **,ER/OF,1,0.00%
,"Jan., 2021",2021/01,Arizona,4,Emergency Room *,ER,91,0.13%
,"Jan., 2021",2021/01,Arizona,4,Office Visit *,OF,112,0.17%
,"Jan., 2021",2021/01,Arizona,4,None of the above,NONE,491,0.72%
Total,"Jan., 2021",2021/01,Arizona,4,,,740,1.09%
,"Jan., 2021",2021/01,Arkansas,5,Death,DTH,15,0.02%
,"Jan., 2021",2021/01,Arkansas,5,Life Threatening,LT,9,0.01%
,"Jan., 2021",2021/01,Arkansas,5,Permanent Disability,DBL,3,0.00%
,"Jan., 2021",2021/01,Arkansas,5,Hospitalized,H,13,0.02%
,"Jan., 2021",2021/01,Arkansas,5,Emergency Room *,ER,31,0.05%
,"Jan., 2021",2021/01,Arkansas,5,Office Visit *,OF,47,0.07%
,"Jan., 2021",2021/01,Arkansas,5,None of the above,NONE,206,0.30%
Total,"Jan., 2021",2021/01,Arkansas,5,,,324,0.48%
,"Jan., 2021",2021/01,California,6,Death,DTH,41,0.06%
,"Jan., 2021",2021/01,California,6,Life Threatening,LT,30,0.04%
,"Jan., 2021",2021/01,California,6,Permanent Disability,DBL,25,0.04%
,"Jan., 2021",2021/01,California,6,Hospitalized,H,62,0.09%
,"Jan., 2021",2021/01,California,6,Existing Hospitalization Prolonged,HP,2,0.00%
,"Jan., 2021",2021/01,California,6,Emergency Room *,ER,389,0.57%
,"Jan., 2021",2021/01,California,6,Office Visit *,OF,504,0.74%
,"Jan., 2021",2021/01,California,6,None of the above,NONE,2466,3.63%
Total,"Jan., 2021",2021/01,California,6,,,3519,5.19%
,"Jan., 2021",2021/01,Colorado,8,Death,DTH,8,0.01%
,"Jan., 2021",2021/01,Colorado,8,Life Threatening,LT,8,0.01%
,"Jan., 2021",2021/01,Colorado,8,Permanent Disability,DBL,3,0.00%
,"Jan., 2021",2021/01,Colorado,8,Hospitalized,H,23,0.03%
,"Jan., 2021",2021/01,Colorado,8,Emergency Room / Office Visit **,ER/OF,1,0.00%
,"Jan., 2021",2021/01,Colorado,8,Emergency Room *,ER,90,0.13%
,"Jan., 2021",2021/01,Colorado,8,Office Visit *,OF,129,0.19%
,"Jan., 2021",2021/01,Colorado,8,None of the above,NONE,462,0.68%
Total,"Jan., 2021",2021/01,Colorado,8,,,724,1.07%
,"Jan., 2021",2021/01,Connecticut,9,Death,DTH,4,0.01%
,"Jan., 2021",2021/01,Connecticut,9,Life Threatening,LT,3,0.00%
,"Jan., 2021",2021/01,Connecticut,9,Permanent Disability,DBL,1,0.00%
,"Jan., 2021",2021/01,Connecticut,9,Congenital Anomaly / Birth Defect *,BD,1,0.00%
,"Jan., 2021",2021/01,Connecticut,9,Hospitalized,H,13,0.02%
,"Jan., 2021",2021/01,Connecticut,9,Emergency Room *,ER,54,0.08%
,"Jan., 2021",2021/01,Connecticut,9,Office Visit *,OF,85,0.13%
,"Jan., 2021",2021/01,Connecticut,9,None of the above,NONE,339,0.50%
Total,"Jan., 2021",2021/01,Connecticut,9,,,500,0.74%
,"Jan., 2021",2021/01,Delaware,10,Death,DTH,1,0.00%
,"Jan., 2021",2021/01,Delaware,10,Life Threatening,LT,2,0.00%
,"Jan., 2021",2021/01,Delaware,10,Hospitalized,H,3,0.00%
,"Jan., 2021",2021/01,Delaware,10,Emergency Room *,ER,15,0.02%
,"Jan., 2021",2021/01,Delaware,10,Office Visit *,OF,8,0.01%
,"Jan., 2021",2021/01,Delaware,10,None of the above,NONE,74,0.11%
Total,"Jan., 2021",2021/01,Delaware,10,,,103,0.15%
,"Jan., 2021",2021/01,District of Columbia,11,Death,DTH,2,0.00%
,"Jan., 2021",2021/01,District of Columbia,11,Hospitalized,H,2,0.00%
,"Jan., 2021",2021/01,District of Columbia,11,Emergency Room *,ER,5,0.01%
,"Jan., 2021",2021/01,District of Columbia,11,Office Visit *,OF,9,0.01%
,"Jan., 2021",2021/01,District of Columbia,11,None of the above,NONE,36,0.05%
Total,"Jan., 2021",2021/01,District of Columbia,11,,,54,0.08%
,"Jan., 2021",2021/01,Florida,12,Death,DTH,26,0.04%
,"Jan., 2021",2021/01,Florida,12,Life Threatening,LT,27,0.04%
,"Jan., 2021",2021/01,Florida,12,Permanent Disability,DBL,13,0.02%
,"Jan., 2021",2021/01,Florida,12,Hospitalized,H,88,0.13%
,"Jan., 2021",2021/01,Florida,12,Emergency Room *,ER,190,0.28%
,"Jan., 2021",2021/01,Florida,12,Office Visit *,OF,276,0.41%
,"Jan., 2021",2021/01,Florida,12,None of the above,NONE,971,1.43%
Total,"Jan., 2021",2021/01,Florida,12,,,1591,2.34%
,"Jan., 2021",2021/01,Georgia,13,Death,DTH,12,0.02%
,"Jan., 2021",2021/01,Georgia,13,Life Threatening,LT,5,0.01%
,"Jan., 2021",2021/01,Georgia,13,Permanent Disability,DBL,3,0.00%
,"Jan., 2021",2021/01,Georgia,13,Congenital Anomaly / Birth Defect *,BD,1,0.00%
,"Jan., 2021",2021/01,Georgia,13,Hospitalized,H,20,0.03%
,"Jan., 2021",2021/01,Georgia,13,Existing Hospitalization Prolonged,HP,1,0.00%
,"Jan., 2021",2021/01,Georgia,13,Emergency Room *,ER,74,0.11%
,"Jan., 2021",2021/01,Georgia,13,Office Visit *,OF,136,0.20%
,"Jan., 2021",2021/01,Georgia,13,None of the above,NONE,495,0.73%
Total,"Jan., 2021",2021/01,Georgia,13,,,747,1.10%
,"Jan., 2021",2021/01,Hawaii,15,Death,DTH,5,0.01%
,"Jan., 2021",2021/01,Hawaii,15,Life Threatening,LT,4,0.01%
,"Jan., 2021",2021/01,Hawaii,15,Hospitalized,H,8,0.01%
,"Jan., 2021",2021/01,Hawaii,15,Emergency Room *,ER,19,0.03%
,"Jan., 2021",2021/01,Hawaii,15,Office Visit *,OF,21,0.03%
,"Jan., 2021",2021/01,Hawaii,15,None of the above,NONE,79,0.12%
Total,"Jan., 2021",2021/01,Hawaii,15,,,136,0.20%
,"Jan., 2021",2021/01,Idaho,16,Death,DTH,1,0.00%
,"Jan., 2021",2021/01,Idaho,16,Life Threatening,LT,2,0.00%
,"Jan., 2021",2021/01,Idaho,16,Permanent Disability,DBL,1,0.00%
,"Jan., 2021",2021/01,Idaho,16,Hospitalized,H,3,0.00%
,"Jan., 2021",2021/01,Idaho,16,Existing Hospitalization Prolonged,HP,1,0.00%
,"Jan., 2021",2021/01,Idaho,16,Emergency Room *,ER,20,0.03%
,"Jan., 2021",2021/01,Idaho,16,Office Visit *,OF,33,0.05%
,"Jan., 2021",2021/01,Idaho,16,None of the above,NONE,139,0.20%
Total,"Jan., 2021",2021/01,Idaho,16,,,200,0.29%
,"Jan., 2021",2021/01,Illinois,17,Death,DTH,10,0.01%
,"Jan., 2021",2021/01,Illinois,17,Life Threatening,LT,8,0.01%
,"Jan., 2021",2021/01,Illinois,17,Permanent Disability,DBL,2,0.00%
,"Jan., 2021",2021/01,Illinois,17,Hospitalized,H,45,0.07%
,"Jan., 2021",2021/01,Illinois,17,Emergency Room *,ER,153,0.23%
,"Jan., 2021",2021/01,Illinois,17,Office Visit *,OF,210,0.31%
,"Jan., 2021",2021/01,Illinois,17,None of the above,NONE,778,1.15%
Total,"Jan., 2021",2021/01,Illinois,17,,,1206,1.78%
,"Jan., 2021",2021/01,Indiana,18,Death,DTH,6,0.01%
,"Jan., 2021",2021/01,Indiana,18,Life Threatening,LT,2,0.00%
,"Jan., 2021",2021/01,Indiana,18,Permanent Disability,DBL,6,0.01%
,"Jan., 2021",2021/01,Indiana,18,Congenital Anomaly / Birth Defect *,BD,2,0.00%
,"Jan., 2021",2021/01,Indiana,18,Hospitalized,H,22,0.03%
,"Jan., 2021",2021/01,Indiana,18,Emergency Room *,ER,72,0.11%
,"Jan., 2021",2021/01,Indiana,18,Office Visit *,OF,131,0.19%
,"Jan., 2021",2021/01,Indiana,18,None of the above,NONE,1279,1.88%
Total,"Jan., 2021",2021/01,Indiana,18,,,1520,2.24%
,"Jan., 2021",2021/01,Iowa,19,Death,DTH,9,0.01%
,"Jan., 2021",2021/01,Iowa,19,Life Threatening,LT,8,0.01%
,"Jan., 2021",2021/01,Iowa,19,Permanent Disability,DBL,1,0.00%
,"Jan., 2021",2021/01,Iowa,19,Congenital Anomaly / Birth Defect *,BD,1,0.00%
,"Jan., 2021",2021/01,Iowa,19,Hospitalized,H,19,0.03%
,"Jan., 2021",2021/01,Iowa,19,Emergency Room *,ER,49,0.07%
,"Jan., 2021",2021/01,Iowa,19,Office Visit *,OF,80,0.12%
,"Jan., 2021",2021/01,Iowa,19,None of the above,NONE,203,0.30%
Total,"Jan., 2021",2021/01,Iowa,19,,,370,0.55%
,"Jan., 2021",2021/01,Kansas,20,Death,DTH,8,0.01%
,"Jan., 2021",2021/01,Kansas,20,Life Threatening,LT,3,0.00%
,"Jan., 2021",2021/01,Kansas,20,Hospitalized,H,12,0.02%
,"Jan., 2021",2021/01,Kansas,20,Emergency Room / Office Visit **,ER/OF,1,0.00%
,"Jan., 2021",2021/01,Kansas,20,Emergency Room *,ER,42,0.06%
,"Jan., 2021",2021/01,Kansas,20,Office Visit *,OF,53,0.08%
,"Jan., 2021",2021/01,Kansas,20,None of the above,NONE,273,0.40%
Total,"Jan., 2021",2021/01,Kansas,20,,,392,0.58%
,"Jan., 2021",2021/01,Kentucky,21,Death,DTH,21,0.03%
,"Jan., 2021",2021/01,Kentucky,21,Life Threatening,LT,5,0.01%
,"Jan., 2021",2021/01,Kentucky,21,Hospitalized,H,13,0.02%
,"Jan., 2021",2021/01,Kentucky,21,Emergency Room / Office Visit **,ER/OF,2,0.00%
,"Jan., 2021",2021/01,Kentucky,21,Emergency Room *,ER,62,0.09%
,"Jan., 2021",2021/01,Kentucky,21,Office Visit *,OF,101,0.15%
,"Jan., 2021",2021/01,Kentucky,21,None of the above,NONE,273,0.40%
Total,"Jan., 2021",2021/01,Kentucky,21,,,477,0.70%
,"Jan., 2021",2021/01,Louisiana,22,Death,DTH,6,0.01%
,"Jan., 2021",2021/01,Louisiana,22,Life Threatening,LT,4,0.01%
,"Jan., 2021",2021/01,Louisiana,22,Congenital Anomaly / Birth Defect *,BD,1,0.00%
,"Jan., 2021",2021/01,Louisiana,22,Hospitalized,H,25,0.04%
,"Jan., 2021",2021/01,Louisiana,22,Emergency Room *,ER,31,0.05%
,"Jan., 2021",2021/01,Louisiana,22,Office Visit *,OF,48,0.07%
,"Jan., 2021",2021/01,Louisiana,22,None of the above,NONE,165,0.24%
Total,"Jan., 2021",2021/01,Louisiana,22,,,280,0.41%
,"Jan., 2021",2021/01,Maine,23,Death,DTH,1,0.00%
,"Jan., 2021",2021/01,Maine,23,Life Threatening,LT,4,0.01%
,"Jan., 2021",2021/01,Maine,23,Permanent Disability,DBL,1,0.00%
,"Jan., 2021",2021/01,Maine,23,Congenital Anomaly / Birth Defect *,BD,1,0.00%
,"Jan., 2021",2021/01,Maine,23,Hospitalized,H,1,0.00%
,"Jan., 2021",2021/01,Maine,23,Existing Hospitalization Prolonged,HP,1,0.00%
,"Jan., 2021",2021/01,Maine,23,Emergency Room *,ER,46,0.07%
,"Jan., 2021",2021/01,Maine,23,Office Visit *,OF,74,0.11%
,"Jan., 2021",2021/01,Maine,23,None of the above,NONE,177,0.26%
Total,"Jan., 2021",2021/01,Maine,23,,,306,0.45%
,"Jan., 2021",2021/01,Maryland,24,Death,DTH,11,0.02%
,"Jan., 2021",2021/01,Maryland,24,Life Threatening,LT,8,0.01%
,"Jan., 2021",2021/01,Maryland,24,Permanent Disability,DBL,2,0.00%
,"Jan., 2021",2021/01,Maryland,24,Hospitalized,H,14,0.02%
,"Jan., 2021",2021/01,Maryland,24,Emergency Room *,ER,92,0.14%
,"Jan., 2021",2021/01,Maryland,24,Office Visit *,OF,151,0.22%
,"Jan., 2021",2021/01,Maryland,24,None of the above,NONE,472,0.70%
Total,"Jan., 2021",2021/01,Maryland,24,,,750,1.11%
,"Jan., 2021",2021/01,Massachusetts,25,Death,DTH,7,0.01%
,"Jan., 2021",2021/01,Massachusetts,25,Life Threatening,LT,13,0.02%
,"Jan., 2021",2021/01,Massachusetts,25,Permanent Disability,DBL,3,0.00%
,"Jan., 2021",2021/01,Massachusetts,25,Hospitalized,H,33,0.05%
,"Jan., 2021",2021/01,Massachusetts,25,Emergency Room *,ER,97,0.14%
,"Jan., 2021",2021/01,Massachusetts,25,Office Visit *,OF,165,0.24%
,"Jan., 2021",2021/01,Massachusetts,25,None of the above,NONE,603,0.89%
Total,"Jan., 2021",2021/01,Massachusetts,25,,,921,1.36%
,"Jan., 2021",2021/01,Michigan,26,Death,DTH,22,0.03%
,"Jan., 2021",2021/01,Michigan,26,Life Threatening,LT,11,0.02%
,"Jan., 2021",2021/01,Michigan,26,Permanent Disability,DBL,5,0.01%
,"Jan., 2021",2021/01,Michigan,26,Congenital Anomaly / Birth Defect *,BD,1,0.00%
,"Jan., 2021",2021/01,Michigan,26,Hospitalized,H,42,0.06%
,"Jan., 2021",2021/01,Michigan,26,Emergency Room *,ER,144,0.21%
,"Jan., 2021",2021/01,Michigan,26,Office Visit *,OF,152,0.22%
,"Jan., 2021",2021/01,Michigan,26,None of the above,NONE,569,0.84%
Total,"Jan., 2021",2021/01,Michigan,26,,,946,1.39%
,"Jan., 2021",2021/01,Minnesota,27,Death,DTH,7,0.01%
,"Jan., 2021",2021/01,Minnesota,27,Life Threatening,LT,16,0.02%
,"Jan., 2021",2021/01,Minnesota,27,Permanent Disability,DBL,7,0.01%
,"Jan., 2021",2021/01,Minnesota,27,Hospitalized,H,39,0.06%
,"Jan., 2021",2021/01,Minnesota,27,Existing Hospitalization Prolonged,HP,1,0.00%
,"Jan., 2021",2021/01,Minnesota,27,Emergency Room *,ER,81,0.12%
,"Jan., 2021",2021/01,Minnesota,27,Office Visit *,OF,99,0.15%
,"Jan., 2021",2021/01,Minnesota,27,None of the above,NONE,334,0.49%
Total,"Jan., 2021",2021/01,Minnesota,27,,,584,0.86%
,"Jan., 2021",2021/01,Mississippi,28,Death,DTH,1,0.00%
,"Jan., 2021",2021/01,Mississippi,28,Life Threatening,LT,4,0.01%
,"Jan., 2021",2021/01,Mississippi,28,Hospitalized,H,9,0.01%
,"Jan., 2021",2021/01,Mississippi,28,Emergency Room *,ER,22,0.03%
,"Jan., 2021",2021/01,Mississippi,28,Office Visit *,OF,25,0.04%
,"Jan., 2021",2021/01,Mississippi,28,None of the above,NONE,116,0.17%
Total,"Jan., 2021",2021/01,Mississippi,28,,,177,0.26%
,"Jan., 2021",2021/01,Missouri,29,Death,DTH,6,0.01%
,"Jan., 2021",2021/01,Missouri,29,Life Threatening,LT,10,0.01%
,"Jan., 2021",2021/01,Missouri,29,Permanent Disability,DBL,1,0.00%
,"Jan., 2021",2021/01,Missouri,29,Congenital Anomaly / Birth Defect *,BD,1,0.00%
,"Jan., 2021",2021/01,Missouri,29,Hospitalized,H,17,0.03%
,"Jan., 2021",2021/01,Missouri,29,Emergency Room *,ER,75,0.11%
,"Jan., 2021",2021/01,Missouri,29,Office Visit *,OF,96,0.14%
,"Jan., 2021",2021/01,Missouri,29,None of the above,NONE,383,0.56%
Total,"Jan., 2021",2021/01,Missouri,29,,,589,0.87%
,"Jan., 2021",2021/01,Montana,30,Death,DTH,2,0.00%
,"Jan., 2021",2021/01,Montana,30,Life Threatening,LT,2,0.00%
,"Jan., 2021",2021/01,Montana,30,Permanent Disability,DBL,4,0.01%
,"Jan., 2021",2021/01,Montana,30,Hospitalized,H,7,0.01%
,"Jan., 2021",2021/01,Montana,30,Emergency Room *,ER,28,0.04%
,"Jan., 2021",2021/01,Montana,30,Office Visit *,OF,41,0.06%
,"Jan., 2021",2021/01,Montana,30,None of the above,NONE,254,0.37%
Total,"Jan., 2021",2021/01,Montana,30,,,338,0.50%
,"Jan., 2021",2021/01,Nebraska,31,Death,DTH,5,0.01%
,"Jan., 2021",2021/01,Nebraska,31,Life Threatening,LT,4,0.01%
,"Jan., 2021",2021/01,Nebraska,31,Permanent Disability,DBL,2,0.00%
,"Jan., 2021",2021/01,Nebraska,31,Hospitalized,H,11,0.02%
,"Jan., 2021",2021/01,Nebraska,31,Emergency Room *,ER,30,0.04%
,"Jan., 2021",2021/01,Nebraska,31,Office Visit *,OF,54,0.08%
,"Jan., 2021",2021/01,Nebraska,31,None of the above,NONE,186,0.27%
Total,"Jan., 2021",2021/01,Nebraska,31,,,292,0.43%
,"Jan., 2021",2021/01,Nevada,32,Death,DTH,4,0.01%
,"Jan., 2021",2021/01,Nevada,32,Life Threatening,LT,2,0.00%
,"Jan., 2021",2021/01,Nevada,32,Hospitalized,H,9,0.01%
,"Jan., 2021",2021/01,Nevada,32,Emergency Room / Office Visit **,ER/OF,1,0.00%
,"Jan., 2021",2021/01,Nevada,32,Emergency Room *,ER,39,0.06%
,"Jan., 2021",2021/01,Nevada,32,Office Visit *,OF,29,0.04%
,"Jan., 2021",2021/01,Nevada,32,None of the above,NONE,136,0.20%
Total,"Jan., 2021",2021/01,Nevada,32,,,220,0.32%
,"Jan., 2021",2021/01,New Hampshire,33,Death,DTH,1,0.00%
,"Jan., 2021",2021/01,New Hampshire,33,Life Threatening,LT,3,0.00%
,"Jan., 2021",2021/01,New Hampshire,33,Permanent Disability,DBL,1,0.00%
,"Jan., 2021",2021/01,New Hampshire,33,Hospitalized,H,5,0.01%
,"Jan., 2021",2021/01,New Hampshire,33,Emergency Room *,ER,31,0.05%
,"Jan., 2021",2021/01,New Hampshire,33,Office Visit *,OF,45,0.07%
,"Jan., 2021",2021/01,New Hampshire,33,None of the above,NONE,162,0.24%
Total,"Jan., 2021",2021/01,New Hampshire,33,,,248,0.37%
,"Jan., 2021",2021/01,New Jersey,34,Death,DTH,6,0.01%
,"Jan., 2021",2021/01,New Jersey,34,Life Threatening,LT,9,0.01%
,"Jan., 2021",2021/01,New Jersey,34,Permanent Disability,DBL,5,0.01%
,"Jan., 2021",2021/01,New Jersey,34,Congenital Anomaly / Birth Defect *,BD,1,0.00%
,"Jan., 2021",2021/01,New Jersey,34,Hospitalized,H,29,0.04%
,"Jan., 2021",2021/01,New Jersey,34,Emergency Room *,ER,102,0.15%
,"Jan., 2021",2021/01,New Jersey,34,Office Visit *,OF,184,0.27%
,"Jan., 2021",2021/01,New Jersey,34,None of the above,NONE,563,0.83%
Total,"Jan., 2021",2021/01,New Jersey,34,,,899,1.32%
,"Jan., 2021",2021/01,New Mexico,35,Death,DTH,5,0.01%
,"Jan., 2021",2021/01,New Mexico,35,Life Threatening,LT,3,0.00%
,"Jan., 2021",2021/01,New Mexico,35,Permanent Disability,DBL,3,0.00%
,"Jan., 2021",2021/01,New Mexico,35,Hospitalized,H,6,0.01%
,"Jan., 2021",2021/01,New Mexico,35,Emergency Room *,ER,34,0.05%
,"Jan., 2021",2021/01,New Mexico,35,Office Visit *,OF,33,0.05%
,"Jan., 2021",2021/01,New Mexico,35,None of the above,NONE,272,0.40%
Total,"Jan., 2021",2021/01,New Mexico,35,,,356,0.52%
,"Jan., 2021",2021/01,New York,36,Death,DTH,19,0.03%
,"Jan., 2021",2021/01,New York,36,Life Threatening,LT,18,0.03%
,"Jan., 2021",2021/01,New York,36,Permanent Disability,DBL,19,0.03%
,"Jan., 2021",2021/01,New York,36,Congenital Anomaly / Birth Defect *,BD,2,0.00%
,"Jan., 2021",2021/01,New York,36,Hospitalized,H,64,0.09%
,"Jan., 2021",2021/01,New York,36,Existing Hospitalization Prolonged,HP,1,0.00%
,"Jan., 2021",2021/01,New York,36,Emergency Room *,ER,239,0.35%
,"Jan., 2021",2021/01,New York,36,Office Visit *,OF,397,0.59%
,"Jan., 2021",2021/01,New York,36,None of the above,NONE,1252,1.85%
Total,"Jan., 2021",2021/01,New York,36,,,2011,2.96%
,"Jan., 2021",2021/01,North Carolina,37,Death,DTH,13,0.02%
,"Jan., 2021",2021/01,North Carolina,37,Life Threatening,LT,8,0.01%
,"Jan., 2021",2021/01,North Carolina,37,Permanent Disability,DBL,9,0.01%
,"Jan., 2021",2021/01,North Carolina,37,Hospitalized,H,25,0.04%
,"Jan., 2021",2021/01,North Carolina,37,Emergency Room *,ER,90,0.13%
,"Jan., 2021",2021/01,North Carolina,37,Office Visit *,OF,119,0.18%
,"Jan., 2021",2021/01,North Carolina,37,None of the above,NONE,405,0.60%
Total,"Jan., 2021",2021/01,North Carolina,37,,,669,0.99%
,"Jan., 2021",2021/01,North Dakota,38,Death,DTH,3,0.00%
,"Jan., 2021",2021/01,North Dakota,38,Life Threatening,LT,3,0.00%
,"Jan., 2021",2021/01,North Dakota,38,Permanent Disability,DBL,1,0.00%
,"Jan., 2021",2021/01,North Dakota,38,Hospitalized,H,7,0.01%
,"Jan., 2021",2021/01,North Dakota,38,Emergency Room *,ER,19,0.03%
,"Jan., 2021",2021/01,North Dakota,38,Office Visit *,OF,18,0.03%
,"Jan., 2021",2021/01,North Dakota,38,None of the above,NONE,63,0.09%
Total,"Jan., 2021",2021/01,North Dakota,38,,,114,0.17%
,"Jan., 2021",2021/01,Ohio,39,Death,DTH,26,0.04%
,"Jan., 2021",2021/01,Ohio,39,Life Threatening,LT,10,0.01%
,"Jan., 2021",2021/01,Ohio,39,Permanent Disability,DBL,7,0.01%
,"Jan., 2021",2021/01,Ohio,39,Hospitalized,H,26,0.04%
,"Jan., 2021",2021/01,Ohio,39,Emergency Room / Office Visit **,ER/OF,1,0.00%
,"Jan., 2021",2021/01,Ohio,39,Emergency Room *,ER,102,0.15%
,"Jan., 2021",2021/01,Ohio,39,Office Visit *,OF,192,0.28%
,"Jan., 2021",2021/01,Ohio,39,None of the above,NONE,776,1.14%
Total,"Jan., 2021",2021/01,Ohio,39,,,1140,1.68%
,"Jan., 2021",2021/01,Oklahoma,40,Death,DTH,3,0.00%
,"Jan., 2021",2021/01,Oklahoma,40,Life Threatening,LT,5,0.01%
,"Jan., 2021",2021/01,Oklahoma,40,Permanent Disability,DBL,5,0.01%
,"Jan., 2021",2021/01,Oklahoma,40,Hospitalized,H,19,0.03%
,"Jan., 2021",2021/01,Oklahoma,40,Emergency Room *,ER,46,0.07%
,"Jan., 2021",2021/01,Oklahoma,40,Office Visit *,OF,58,0.09%
,"Jan., 2021",2021/01,Oklahoma,40,None of the above,NONE,261,0.38%
Total,"Jan., 2021",2021/01,Oklahoma,40,,,397,0.59%
,"Jan., 2021",2021/01,Oregon,41,Life Threatening,LT,4,0.01%
,"Jan., 2021",2021/01,Oregon,41,Permanent Disability,DBL,4,0.01%
,"Jan., 2021",2021/01,Oregon,41,Congenital Anomaly / Birth Defect *,BD,1,0.00%
,"Jan., 2021",2021/01,Oregon,41,Hospitalized,H,12,0.02%
,"Jan., 2021",2021/01,Oregon,41,Emergency Room / Office Visit **,ER/OF,1,0.00%
,"Jan., 2021",2021/01,Oregon,41,Emergency Room *,ER,67,0.10%
,"Jan., 2021",2021/01,Oregon,41,Office Visit *,OF,93,0.14%
,"Jan., 2021",2021/01,Oregon,41,None of the above,NONE,256,0.38%
Total,"Jan., 2021",2021/01,Oregon,41,,,438,0.65%
,"Jan., 2021",2021/01,Pennsylvania,42,Death,DTH,10,0.01%
,"Jan., 2021",2021/01,Pennsylvania,42,Life Threatening,LT,7,0.01%
,"Jan., 2021",2021/01,Pennsylvania,42,Permanent Disability,DBL,3,0.00%
,"Jan., 2021",2021/01,Pennsylvania,42,Hospitalized,H,48,0.07%
,"Jan., 2021",2021/01,Pennsylvania,42,Emergency Room *,ER,145,0.21%
,"Jan., 2021",2021/01,Pennsylvania,42,Office Visit *,OF,266,0.39%
,"Jan., 2021",2021/01,Pennsylvania,42,None of the above,NONE,812,1.20%
Total,"Jan., 2021",2021/01,Pennsylvania,42,,,1291,1.90%
,"Jan., 2021",2021/01,Rhode Island,44,Death,DTH,2,0.00%
,"Jan., 2021",2021/01,Rhode Island,44,Life Threatening,LT,1,0.00%
,"Jan., 2021",2021/01,Rhode Island,44,Hospitalized,H,5,0.01%
,"Jan., 2021",2021/01,Rhode Island,44,Emergency Room *,ER,20,0.03%
,"Jan., 2021",2021/01,Rhode Island,44,Office Visit *,OF,28,0.04%
,"Jan., 2021",2021/01,Rhode Island,44,None of the above,NONE,94,0.14%
Total,"Jan., 2021",2021/01,Rhode Island,44,,,150,0.22%
,"Jan., 2021",2021/01,South Carolina,45,Death,DTH,2,0.00%
,"Jan., 2021",2021/01,South Carolina,45,Life Threatening,LT,3,0.00%
,"Jan., 2021",2021/01,South Carolina,45,Permanent Disability,DBL,1,0.00%
,"Jan., 2021",2021/01,South Carolina,45,Hospitalized,H,9,0.01%
,"Jan., 2021",2021/01,South Carolina,45,Emergency Room *,ER,35,0.05%
,"Jan., 2021",2021/01,South Carolina,45,Office Visit *,OF,40,0.06%
,"Jan., 2021",2021/01,South Carolina,45,None of the above,NONE,149,0.22%
Total,"Jan., 2021",2021/01,South Carolina,45,,,239,0.35%
,"Jan., 2021",2021/01,South Dakota,46,Death,DTH,4,0.01%
,"Jan., 2021",2021/01,South Dakota,46,Life Threatening,LT,1,0.00%
,"Jan., 2021",2021/01,South Dakota,46,Permanent Disability,DBL,2,0.00%
,"Jan., 2021",2021/01,South Dakota,46,Hospitalized,H,3,0.00%
,"Jan., 2021",2021/01,South Dakota,46,Emergency Room *,ER,19,0.03%
,"Jan., 2021",2021/01,South Dakota,46,Office Visit *,OF,29,0.04%
,"Jan., 2021",2021/01,South Dakota,46,None of the above,NONE,73,0.11%
Total,"Jan., 2021",2021/01,South Dakota,46,,,131,0.19%
,"Jan., 2021",2021/01,Tennessee,47,Death,DTH,7,0.01%
